,duration_bin,games_played,wins,hero_id
878,3300,495,249,43
879,1800,3943,1993,43
880,3900,129,57,43
881,300,36,19,43
882,6000,3,3,43
883,3000,946,459,43
884,4200,65,34,43
885,4500,29,12,43
886,1200,2104,1034,43
887,2700,1400,709,43
888,5100,9,3,43
889,2100,3090,1613,43
890,5400,2,1,43
891,900,819,396,43
892,600,198,89,43
893,2400,2298,1208,43
894,3600,247,118,43
895,1500,3359,1652,43
896,4800,6,1,43
897,5700,2,0,44
898,3300,190,115,44
899,1800,2807,1378,44
900,3900,51,24,44
901,300,19,11,44
902,6000,1,1,44
903,3000,418,219,44
904,4200,22,12,44
905,4500,11,6,44
906,1200,1577,588,44
907,2700,636,346,44
908,5100,1,1,44
909,2100,1939,984,44
910,900,503,160,44
911,6300,1,0,44
912,600,140,42,44
913,2400,1219,635,44
914,3600,111,52,44
915,1500,2436,1046,44
916,4800,7,5,44
917,5700,2,0,45
918,3300,287,130,45
919,1800,2571,1313,45
920,3900,66,39,45
921,300,31,23,45
922,3000,550,295,45
923,4200,46,18,45
924,6600,1,0,45
925,4500,24,12,45
926,1200,1829,1039,45
927,2700,752,327,45
928,5100,8,3,45
929,2100,1924,937,45
930,5400,1,1,45
931,900,715,443,45
932,600,194,129,45
933,2400,1409,681,45
934,3600,142,74,45
935,1500,2429,1304,45
936,4800,6,6,45
937,5700,3,3,46
938,3300,355,169,46
939,1800,4441,2348,46
940,3900,89,44,46
941,300,34,21,46
942,6000,1,0,46
943,3000,761,365,46
944,4200,54,23,46
945,4500,19,5,46
946,1200,2758,1615,46
947,2700,1159,576,46
948,5100,6,4,46
949,2100,3166,1673,46
950,5400,3,2,46
951,900,1039,606,46
952,6300,2,2,46
953,600,221,131,46
954,2400,2086,1088,46
955,3600,187,105,46
956,1500,4288,2318,46
957,4800,14,3,46
958,3300,416,193,47
959,7500,2,1,47
960,1800,2826,1413,47
961,3900,107,42,47
962,300,37,20,47
963,6000,1,0,47
964,3000,721,327,47
965,4200,66,32,47
966,4500,27,17,47
967,1200,1707,913,47
968,2700,1082,503,47
969,5100,8,4,47
970,2100,2215,1043,47
971,5400,2,1,47
972,900,857,458,47
973,6300,1,0,47
974,600,251,134,47
975,2400,1759,815,47
976,3600,198,96,47
977,1500,2404,1210,47
978,4800,17,5,47
979,5700,1,1,48
980,3300,269,131,48
981,1800,3480,1775,48
982,3900,56,21,48
983,300,28,13,48
984,6000,2,1,48
